date,FCI
2001-01-01,-0.5202800539616559
2001-02-01,-0.7084976433370083
2001-03-01,-0.35204747029440764
2001-04-01,0.16081402521064636
2001-05-01,-0.2333427224417793
2001-06-01,0.1256196926781916
2001-07-01,0.5034808509661868
2001-08-01,0.47698388115852364
2001-09-01,0.9376429905785768
2001-10-01,1.1905476387017837
2001-11-01,1.3094767394727629
2001-12-01,1.1446277367228723
2002-01-01,0.2076457812982296
2002-02-01,0.13250393908130545
2002-03-01,-0.06007659846222231
2002-04-01,-0.6271502058013023
2002-05-01,-0.7252046670361818
2002-06-01,-0.8875493600032899
2002-07-01,-0.939958183178105
2002-08-01,-1.0914781318038582
2002-09-01,-1.0669583238042815
2002-10-01,-1.2375432420531454
2002-11-01,-1.3133922735042283
2002-12-01,-1.1157784690589834
2003-01-01,-1.3793200596680038
2003-02-01,-0.9654623799564429
2003-03-01,-0.934002349763395
2003-04-01,-0.817254295474264
2003-05-01,-0.9626575577704297
2003-06-01,-0.9744079162442868
2003-07-01,-1.1094805196551731
2003-08-01,-1.0577073797665668
2003-09-01,-1.3617324655847236
2003-10-01,-1.3941172682471932
2003-11-01,-1.3177847432391474
2003-12-01,-1.4223430419707939
2004-01-01,-1.47559274593201
2004-02-01,-1.5279552401807686
2004-03-01,-1.680555029626603
2004-04-01,-1.784036712618365
2004-05-01,-1.8489324121950226
2004-06-01,-1.7154381490078707
2004-07-01,-1.6898407362460854
2004-08-01,-1.7152487458835604
2004-09-01,-1.7919095314085745
2004-10-01,-1.8817772114025495
2004-11-01,-1.8804981855237357
2004-12-01,-2.0687425376241197
2005-01-01,-2.0205090472637446
2005-02-01,-2.038804130420971
2005-03-01,-1.8647841156348313
2005-04-01,-2.0351797207500213
2005-05-01,-1.9324904383282373
2005-06-01,-2.1379747760797896
2005-07-01,-2.0980909034243895
2005-08-01,-2.114760218513668
2005-09-01,-1.988960377223048
2005-10-01,-2.046313664336178
2005-11-01,-2.1208025177605596
2005-12-01,-2.0215635456640646
2006-01-01,-2.211080942494418
2006-02-01,-2.1541819322250557
2006-03-01,-2.1950314622494815
2006-04-01,-2.102388765135605
2006-05-01,-2.022442382450187
2006-06-01,-1.9823146153135556
2006-07-01,-1.9149969126362583
2006-08-01,-1.8753204401700134
2006-09-01,-1.9267608591395875
2006-10-01,-0.9862275042502968
2006-11-01,-1.003900544014405
2006-12-01,-1.141086730395367
2007-01-01,-0.7282309209610015
2007-02-01,-0.7115422763664072
2007-03-01,-0.7275401527884968
2007-04-01,-0.7551870054902883
2007-05-01,-0.7524579570838669
2007-06-01,-0.6083959716318332
2007-07-01,-0.1947680804764256
2007-08-01,-0.1644701123153462
2007-09-01,-0.24689149573834776
2007-10-01,-0.6699343557588879
2007-11-01,-0.7347423532342827
2007-12-01,-0.5891364373595471
2008-01-01,-0.3108710107223051
2008-02-01,-0.10832268183526267
2008-03-01,-0.0042316047585735424
2008-04-01,0.38576200456977705
2008-05-01,0.40009153634568234
2008-06-01,0.3233723317897677
2008-07-01,0.330781392237929
2008-08-01,0.5973751572249247
2008-09-01,1.0686362569546153
2008-10-01,2.662857471184275
2008-11-01,3.4254231198585168
2008-12-01,3.6332153006068117
2009-01-01,5.121985789093361
2009-02-01,5.070131028442173
2009-03-01,5.274982597854774
2009-04-01,5.48163960226858
2009-05-01,5.097878139212954
2009-06-01,5.204452737059475
2009-07-01,4.470773505994967
2009-08-01,4.053092064335569
2009-09-01,3.915304084705042
2009-10-01,1.660757287377594
2009-11-01,0.9916654079220846
2009-12-01,0.949103499158058
2010-01-01,-0.9853287981778269
2010-02-01,-0.9184782469942323
2010-03-01,-1.4420214226929255
2010-04-01,-1.8176443804612645
2010-05-01,-1.8526761140396693
2010-06-01,-1.5245075622857454
2010-07-01,-1.5775435749333153
2010-08-01,-1.608687035874698
2010-09-01,-1.567038404378848
2010-10-01,-1.7727960403534684
2010-11-01,-1.749890269286183
2010-12-01,-1.751514093445529
2011-01-01,-1.4046574415089823
2011-02-01,-1.497656016907148
2011-03-01,-1.4561629263149773
2011-04-01,-1.396253729549909
2011-05-01,-1.353713029473958
2011-06-01,-1.3943445214691115
2011-07-01,-0.8705845970837937
2011-08-01,-0.947963612499288
2011-09-01,-0.9087712416178483
2011-10-01,-1.4711380528180982
2011-11-01,-1.4292488536228267
2011-12-01,-1.4244175924846578
2012-01-01,-1.5505090919419304
2012-02-01,-1.687255370291412
2012-03-01,-1.5018340406789592
2012-04-01,-1.329937468884479
2012-05-01,-1.337891576147783
2012-06-01,-1.210092609761466
2012-07-01,-1.0925999641937079
2012-08-01,-0.9770677797105328
2012-09-01,-1.116909528898136
2012-10-01,-0.8759571720256232
2012-11-01,-0.910673681486779
2012-12-01,-0.9067839550322101
2013-01-01,-0.35484549527442744
2013-02-01,-0.3514040488080731
2013-03-01,-0.24833826169083917
2013-04-01,-0.3996121278353395
2013-05-01,-0.4994893412875941
2013-06-01,-0.6001689397665718
2013-07-01,-0.7156096202320629
2013-08-01,-0.7844666787031493
2013-09-01,-0.7418535898982163
2013-10-01,-0.6232236979078861
2013-11-01,-0.6459507744571575
2013-12-01,-0.5105200879517289
2014-01-01,-0.7275526303067872
2014-02-01,-0.7475740356827018
2014-03-01,-0.9626791015962792
2014-04-01,-1.2520444167522828
2014-05-01,-1.1748443108401447
2014-06-01,-1.1934589034015575
2014-07-01,-1.4590937702615099
2014-08-01,-1.3323126916399073
2014-09-01,-1.2660640541423032
2014-10-01,-1.3007566186536543
2014-11-01,-1.2287725166003747
2014-12-01,-1.189665202733076
2015-01-01,-1.0819754771341061
2015-02-01,-0.9255346046804497
2015-03-01,-0.902305785072115
2015-04-01,-0.5805515426376795
2015-05-01,-0.5398873623741167
2015-06-01,-0.5407531122343965
2015-07-01,-0.3606232836765866
2015-08-01,-0.47481944260520587
2015-09-01,-0.45801073572223744
2015-10-01,-0.1264047250567167
2015-11-01,-0.09153339213953877
2015-12-01,-0.09191674147565498
2016-01-01,-0.2456038888075085
2016-02-01,-0.26774487598184404
2016-03-01,-0.19581141366038649
2016-04-01,-0.23858381647279928
2016-05-01,-0.18336448785088744
2016-06-01,-0.23405477923258644
2016-07-01,-0.12542917276851437
2016-08-01,-0.18792594487587666
2016-09-01,-0.23792805737522416
2016-10-01,-0.8641067320464992
2016-11-01,-0.8262098944530564
2016-12-01,-0.9695571186683117
2017-01-01,-0.9901076908133477
2017-02-01,-1.0113558138623138
2017-03-01,-1.0220092259262874
2017-04-01,-1.2985553156351348
2017-05-01,-1.3207796845168047
2017-06-01,-1.3777322731485258
2017-07-01,-1.2638605112103753
2017-08-01,-1.2737773276873683
2017-09-01,-1.335848172297193
2017-10-01,-1.0235697690967223
2017-11-01,-1.177013822841241
2017-12-01,-1.1494763690816536
2018-01-01,-1.2710070356486984
2018-02-01,-1.3488175651735257
2018-03-01,-1.374941000729268
2018-04-01,-1.1975768321862763
2018-05-01,-1.241258673951014
2018-06-01,-1.1729765436316681
2018-07-01,-1.4529111378092356
2018-08-01,-1.534649888112833
2018-09-01,-1.4145308169004214
2018-10-01,-1.5097488468688274
2018-11-01,-1.4010146892952262
2018-12-01,-1.286903333084343
2019-01-01,-0.9809649106344808
2019-02-01,-0.7238589659473632
2019-03-01,-0.9278597025148445
2019-04-01,-0.9390559071872723
2019-05-01,-0.8632933338639541
2019-06-01,-0.8953896205254074
2019-07-01,-0.502643758253415
2019-08-01,-0.5218819401856784
2019-09-01,-0.4898487351089012
2019-10-01,-0.17074443964680577
2019-11-01,-0.2116736585009161
2019-12-01,-0.2529405282573706
2020-01-01,-0.11007400163844333
2020-02-01,-0.16494621445446714
2020-03-01,2.5010837401799013
2020-04-01,6.23605267507381
2020-05-01,3.116975973937146
2020-06-01,2.4858349667333
2020-07-01,-0.5999785246330028
2020-08-01,-0.6666007583353697
2020-09-01,-0.8204183331030876
2020-10-01,-1.0255967278895333
2020-11-01,-0.9618610794076795
2020-12-01,-0.584873374691152
2021-01-01,-0.5821843951390886
2021-02-01,-0.35575217832286155
2021-03-01,-1.1232731380546273
2021-04-01,-1.4410171972200407
2021-05-01,-1.4519674729773464
2021-06-01,-1.3745598023284264
2021-07-01,-1.8078801822413344
2021-08-01,-1.7079524114495057
2021-09-01,-1.6340786473341198
2021-10-01,-2.1251740426552894
2021-11-01,-2.192780854661057
2021-12-01,-2.1408377989594247
2022-01-01,-2.0835027139278846
2022-02-01,-2.271975779803615
2022-03-01,-1.987340753047112
2022-04-01,-1.7844860261224844
2022-05-01,-1.7598674014216493
2022-06-01,-1.7150668160803564
2022-07-01,-1.4167721722813473
2022-08-01,-1.4708865163505063
2022-09-01,-1.492997699237565
2022-10-01,-0.9977951405666452
2022-11-01,-0.8010777942462334
2022-12-01,-0.798444482935517
2023-01-01,-0.1975227186886343
2023-02-01,-0.113434297601346
2023-03-01,-0.004292443484303749
2023-04-01,0.22972468249043748
